,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
362,,"Kierowca Samochodu Ciężarowego CE, stałe linie Śląsk-Budapeszt-Śląsk",OMEGA TRANSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,12 000–14 000 zł brutto / mies.,12 000,14 000,False,False,,,2 lokalizacje,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
363,,Kierowca kat. B,O!TAXI sp. z o.o.,3 000–12 000 zł / mies. (zal. od umowy),3 000,12 000,False,True,,,6 lokalizacji,Pracownik fizyczny,"Pełny etat, Część etatu, Dodatkowa / tymczasowa","Umowa zlecenie, Kontrakt B2B, Umowa agencyjna",Szukamy wielu kandydatów (200 wakatów)
364,"https://www.pracuj.pl/praca/kierowca-taxi-krakow-bociana-18,oferta,1002982748",Kierowca Taxi,ERES PARTNER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,3 500–15 000 zł brutto / mies.,3 500,15 000,False,True,,,"Kraków, Prądnik Biały",Pracownik fizyczny,"Pełny etat, Część etatu, Dodatkowa / tymczasowa",Umowa zlecenie,Szukamy wielu kandydatów (200 wakatów)
365,"https://www.pracuj.pl/praca/kierowca-magazynier-lodz,oferta,1003010541",Kierowca - Magazynier,Ferlas Import - Export Sp. z o.o.,,,,,False,,,Łódź,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
366,,"Kierowca - Serwisant, Kat. B, C, C+E",Separator Service Sp. z o.o.,,,,,False,,,2 lokalizacje,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
367,"https://www.pracuj.pl/praca/elektromonter-sieci-wn-lubin,oferta,1003003118",Elektromonter Sieci WN,TAURON Dystrybucja Spółka Akcyjna,,,,,True,,,Lubin,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
368,"https://www.pracuj.pl/praca/kierowca-dostawca-produktow-spozywczych-katowice,oferta,1002953986",Kierowca / dostawca produktów spożywczych,Solid S.A.,3 000–3 500 zł brutto / mies.,3 000,3 500,False,True,,,Katowice,Pracownik fizyczny,Pełny etat,Umowa zlecenie,Praca mobilna
369,"https://www.pracuj.pl/praca/operator-koparki-kl-i-miedzianka-pow-kielecki,oferta,1002989155",Operator Koparki Kl. I,Nordkalk Sp. z o.o.,,,,,False,,,Miedzianka (pow. kielecki),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
370,"https://www.pracuj.pl/praca/kierowca-miedzynarodowy-kat-b-szczecin-rymarska-10,oferta,1003010497",Kierowca międzynarodowy kat. B,ATT LOGISTICS sp. z o.o.,7 500–10 500 zł brutto / mies.,7 500,10 500,False,False,,,"Szczecin, Prawobrzeże",Pracownik fizyczny,Pełny etat,Umowa o pracę,Запрошуємо працівників з України
371,"https://www.pracuj.pl/praca/kierowca-dostawca-nisko-olszyna-2,oferta,1002973708",Kierowca - Dostawca,PIEKARNIA ROSTEK sp.k.,5 000–5 100 zł brutto / mies.,5 000,5 100,False,True,,,Nisko,Pracownik fizyczny,Pełny etat,Umowa zlecenie,Praca mobilna
372,"https://www.pracuj.pl/praca/kierowca-c%2be-magazynier-glogow-malopolski-piaski-41,oferta,1002979749",kierowca C+E - magazynier,NTB sp. z o.o.,,,,,False,,,Głogów Małopolski,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
373,"https://www.pracuj.pl/praca/pracownik-floty-samochodowej-warszawa,oferta,1003010426",Pracownik Floty Samochodowej,Solid MCG Sp. z o.o.,,,,,False,,,Warszawa,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca stacjonarna
374,"https://www.pracuj.pl/praca/operator-wuko-poznan,oferta,1002989018",Operator WUKO,Terlan Sp. z o.o.,,,,,False,,,Poznań,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
375,"https://www.pracuj.pl/praca/kierowca-kat-c%2be-czestochowa-slaska-22,oferta,1003010365",Kierowca kat. C+E,KODAS TRANS sp. z o.o.,14 900–16 000 zł brutto / mies.,14 900,16 000,False,False,,,"Częstochowa, Śródmieście",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
376,"https://www.pracuj.pl/praca/kierowca-dostawca-3-5-etatu-baranowo-pow-poznanski-gm-tarnowo-podgorne,oferta,1002979684",Kierowca - Dostawca 3/5 etatu,SZUFLADA STUDIO AKCESORIÓW MEBLOWYCH sp. z o.o.,30–33 zł brutto / godz.,30,33,False,False,,,Baranowo (pow. poznański; gm. Tarnowo Podgórne),Asystent,Część etatu,Umowa o pracę,Praca od zaraz
377,"https://www.pracuj.pl/praca/kierowca-operator-piaseczno,oferta,1003010355",Kierowca - Operator,Stora Enso,,,,,False,,,Piaseczno,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
378,"https://www.pracuj.pl/praca/kierowca-c-%2b-e-operator-hds-niestepowo-pow-kartuski-radunska-18a,oferta,1002979663",Kierowca C + E - Operator HDS,"P.H.U.T. ""DARKO""",,,,,False,,,Niestępowo (pow. kartuski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
379,"https://www.pracuj.pl/praca/kierowca-c%2be-kalisz,oferta,1002979596",Kierowca C+E,Raben Logistics Polska sp. z o.o.,,,,,False,,,Kalisz,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
380,"https://www.pracuj.pl/praca/kierowca-c%2be-poznan,oferta,1002979542",Kierowca C+E,Imperial Transport Sp. z o.o.,,,,,False,,,Poznań,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
381,"https://www.pracuj.pl/praca/kierowca-miedzynarodowy-kat-c%2be-wielun,oferta,1002996532",Kierowca międzynarodowy kat. C+E,"P.H.U. ""ARTKOM"" MICHAŁ ZADWORNY",9 000–12 000 zł brutto / mies.,9 000,12 000,False,False,,,Wieluń,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
382,"https://www.pracuj.pl/praca/kierowca-mechanik-mobilna-wulkanizacja-pszczyna,oferta,1003010272",Kierowca mechanik - mobilna wulkanizacja,GRUPA AUTOMOBILE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,,,False,,,Pszczyna,Pracownik fizyczny,Pełny etat,Umowa o pracę,Запрошуємо працівників з України
